File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0001_a_1.tif,1,sinai,Front Board Outside,Front matter,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/d274mz5j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fd274mz5j
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0002_b_000.tif,2,sinai,Front Board Inside,Front matter,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/r267jz1k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fr267jz1k
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0003_f_001r.tif,3,sinai,f. 001r,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/d102xc7m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fd102xc7m
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0004_f_001v.tif,4,sinai,f. 001v,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/h454vb7g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fh454vb7g
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0005_f_002r.tif,5,sinai,f. 002r,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/g369tf3q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fg369tf3q
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0006_f_002v.tif,6,sinai,f. 002v,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/vb71r80r,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fvb71r80r
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0007_f_003r.tif,7,sinai,f. 003r,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/2j34kt3j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2F2j34kt3j
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0008_f_003v.tif,8,sinai,f. 003v,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/sf70f31t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fsf70f31t
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0009_f_004r.tif,9,sinai,f. 004r,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/b729vt4v,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fb729vt4v
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0010_f_004v.tif,10,sinai,f. 004v,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/dr85tc5d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fdr85tc5d
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0011_f_005r.tif,11,sinai,f. 005r,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/n167333c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fn167333c
Masters/sinaimasters/ara/arabic_0177/sld_arb0177_0012_f_005v.tif,12,sinai,f. 005v,Text,,ark:/21198/z1766jkn,ark:/21198/z1766jkn/nc85qz4f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 177,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fnc85qz4f
