File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0001_f_001r.tif,1,sinai,f. 001r,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/mv763s7f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fmv763s7f
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0002_f_001v.tif,2,sinai,f. 001v,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/6d38rn1j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2F6d38rn1j
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0003_f_002r.tif,3,sinai,f. 002r,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/w630bc26,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fw630bc26
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0004_f_002v.tif,4,sinai,f. 002v,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/1795qk3j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2F1795qk3j
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0005_f_003r.tif,5,sinai,f. 003r,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/zf87sw91,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fzf87sw91
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0006_f_003v.tif,6,sinai,f. 003v,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/zz25hk52,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fzz25hk52
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0007_f_004r.tif,7,sinai,f. 004r,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/c040rx3d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fc040rx3d
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0008_f_004v.tif,8,sinai,f. 004v,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/gj864391,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fgj864391
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0009_f_005r.tif,9,sinai,f. 005r,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/4v851n80,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2F4v851n80
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0010_f_005v.tif,10,sinai,f. 005v,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/pt25vm94,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fpt25vm94
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0011_f_006r.tif,11,sinai,f. 006r,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/6p471c7x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2F6p471c7x
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0012_f_006v.tif,12,sinai,f. 006v,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/jd33cb77,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fjd33cb77
Masters/sinaimasters/ara/arabic_0359/sld_arb0359_0013_f_007r.tif,13,sinai,f. 007r,Text,,ark:/21198/z19w1jz6,ark:/21198/z19w1jz6/qv503192,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 359,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jz6%2Fqv503192
