"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0001_a_1.tif","1","sinai","Front Board Outside","Front matter","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/kq45c193","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Fkq45c193"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0002_b_000.tif","2","sinai","Front Board Inside","Front matter","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/8x840121","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2F8x840121"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0003_f_001r.tif","3","sinai","f. 001r","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/0t93c024","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2F0t93c024"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0004_f_001v.tif","4","sinai","f. 001v","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/rg594g41","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Frg594g41"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0005_f_002r.tif","5","sinai","f. 002r","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/k778r24z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Fk778r24z"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0006_f_002v.tif","6","sinai","f. 002v","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/7g671j1n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2F7g671j1n"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0007_f_003r.tif","7","sinai","f. 003r","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/mq092d9p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Fmq092d9p"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0008_f_003v.tif","8","sinai","f. 003v","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/6x77m02p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2F6x77m02p"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0009_f_004r.tif","9","sinai","f. 004r","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/n283ck56","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Fn283ck56"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0010_f_004v.tif","10","sinai","f. 004v","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/9x116p4m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2F9x116p4m"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0011_f_005r.tif","11","sinai","f. 005r","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/kn78t16r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Fkn78t16r"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0012_f_005v.tif","12","sinai","f. 005v","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/t2015c7h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Ft2015c7h"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0013_f_006r.tif","13","sinai","f. 006r","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/mh17803t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Fmh17803t"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0014_f_006v.tif","14","sinai","f. 006v","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/4245wj85","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2F4245wj85"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0015_f_007r.tif","15","sinai","f. 007r","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/pz58b45b","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Fpz58b45b"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0016_f_007v.tif","16","sinai","f. 007v","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/2j19r297","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2F2j19r297"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0017_f_008r.tif","17","sinai","f. 008r","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/zp57rm81","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2Fzp57rm81"
"Masters/sinaimasters/ara/arabic_0368/sld_arb0368_0018_f_008v.tif","18","sinai","f. 008v","Text","","ark:/21198/z12c02c2","ark:/21198/z12c02c2/37821h2t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 368","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c02c2%2F37821h2t"
