"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.copyrightStatus","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0001_a_1.tif","1","discovery","Front Board Outside","Front matter","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/6n87rd4v","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F6n87rd4v"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0002_b_000.tif","2","discovery","Front Board Inside","Front matter","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/18403p7w","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F18403p7w"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0003_b_001r.tif","3","discovery","Flyleaf 001r","Front matter","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/fd20np6f","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Ffd20np6f"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0004_b_001v.tif","4","discovery","Flyleaf 001v","Front matter","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/hq34x592","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fhq34x592"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0005_f_001r.tif","5","discovery","f. 001r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/7m54sg49","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F7m54sg49"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0006_f_001v.tif","6","discovery","f. 001v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/mp75d739","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fmp75d739"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0007_f_002r.tif","7","discovery","f. 002r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/qz029c7n","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fqz029c7n"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0008_f_002v.tif","8","discovery","f. 002v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/0q63xh6f","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F0q63xh6f"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0009_f_003r.tif","9","discovery","f. 003r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/tc53ds8v","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Ftc53ds8v"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0010_f_003v.tif","10","discovery","f. 003v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/f734wg81","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Ff734wg81"
