File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/w460mh7b,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/xh183k1q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/qf45h276,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/t853n59q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/kr90db58,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/cr80bx73,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/1b815n1r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/wb94gd9p,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0009_f_004ar.tif,9,discovery,f. 004r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/4n49km0p,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0010_f_004av.tif,10,discovery,f. 004v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/28994m18,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0011_f_004br.tif,11,discovery,f. 004r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/rm54nv8v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0012_f_004bv.tif,12,discovery,f. 004v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/xq70712c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0013_f_005r.tif,13,discovery,f. 005r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/bx98097w,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0014_f_005v.tif,14,discovery,f. 005v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/1697j03q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0015_f_006r.tif,15,discovery,f. 006r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/j737fm2f,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0016_f_006v.tif,16,discovery,f. 006v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/gc19w08s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0017_f_007r.tif,17,discovery,f. 007r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/1973p86d,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0018_f_007v.tif,18,discovery,f. 007v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/bj33mp30,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0019_f_008r.tif,19,discovery,f. 008r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/m2563n30,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0020_f_008v.tif,20,discovery,f. 008v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/3h10s511,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0021_f_009r.tif,21,discovery,f. 009r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/rn891h1z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0022_f_009v.tif,22,discovery,f. 009v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/2912h76f,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0023_f_010r.tif,23,discovery,f. 010r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/hd61xs22,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0024_f_010v.tif,24,discovery,f. 010v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/ht48jp8v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0025_f_011ar.tif,25,discovery,f. 011r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/b049m091,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0026_f_011av.tif,26,discovery,f. 011v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/zs54585m,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0027_f_011br.tif,27,discovery,f. 011r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/7g54sq3k,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0028_f_011bv.tif,28,discovery,f. 011v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/92633292,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0029_f_012r.tif,29,discovery,f. 012r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/tk143k6v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0030_f_012v.tif,30,discovery,f. 012v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/p717rw0p,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0031_f_013r.tif,31,discovery,f. 013r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/0v45s91g,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0032_f_013v.tif,32,discovery,f. 013v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/1c55j842,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0033_f_014r.tif,33,discovery,f. 014r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/6r61xn2c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0034_f_014v.tif,34,discovery,f. 014v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/wg011m12,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0035_f_015r.tif,35,discovery,f. 015r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/pm555m4d,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0036_f_015v.tif,36,discovery,f. 015v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/2549h027,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0037_f_016ar.tif,37,discovery,f. 016r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/3101z746,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0038_f_016av.tif,38,discovery,f. 016v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/wg54sb8s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0039_f_016br.tif,39,discovery,f. 016r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/t182ck7q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0040_f_016bv.tif,40,discovery,f. 016v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/qb695n6z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0041_f_017r.tif,41,discovery,f. 017r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/dr49qv4p,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0042_f_017v.tif,42,discovery,f. 017v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/sg65jd65,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0043_f_018r.tif,43,discovery,f. 018r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/wh040q1q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0044_f_018v.tif,44,discovery,f. 018v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/62471x8d,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0045_f_019r.tif,45,discovery,f. 019r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/1d29862r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0046_f_019v.tif,46,discovery,f. 019v,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/d135gx74,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0624/sld_arb0624_0047_f_020r.tif,47,discovery,f. 020r,Text,,ark:/21198/z18w4hnk,ark:/21198/z18w4hnk/ns72591x,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
