Manuscript,number of images
ara003,754
ara007,162
ara009,702
ara014,274
ara027,300
ara029,234
ara037,262
ara057,376
ara060,174
ara065,524
ara067,444
ara100,398
ara123,402
ara131,265
ara145,342
ara148,554
ara151,546
ara153,472
ara161,561
ara165,560
ara167,274
ara177,618
ara196,215
ara197,570
ara198,444
ara222,220
ara224,94
ara233,238
ara246,144
ara247,524
ara249,36
ara254,100
ara259,246
ara270,946
ara272,148
ara277,166
ara288,316
ara298,456
ara319,722
ara327,370
ara328,552
ara337,623
ara345,520
ara346,676
ara351,764
ara352,684
ara370,488
ara378,752
ara379,450
ara382,458
ara413,374
ara414,340
ara425,106
ara434,512
ara435,514
ara449,232
ara450,290
ara451,240
ara469,240
ara472,354
ara473,188
ara487,228
ara494,832
ara499,414
ara501,145
ara582,334
ara602,244
ara624,55
ara628,292
syr126,494
syr127,412
syr129,312
syr190,484
syr202,923
syr208,589
,30268
