File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0001_f_001r.tif,1,discovery,f. 001r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/cb81js0n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0002_f_001v.tif,2,discovery,f. 001v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/xb96xf6x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0003_f_002r.tif,3,discovery,f. 002r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/qg998b7q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0004_f_002v.tif,4,discovery,f. 002v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/4n79p43r,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0005_f_003r.tif,5,discovery,f. 003r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/9t04gd7t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0006_f_003v.tif,6,discovery,f. 003v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/hq85pc09,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0007_f_004r.tif,7,discovery,f. 004r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/qx82380s,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0008_f_004v.tif,8,discovery,f. 004v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/jk89cm60,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0009_f_005r.tif,9,discovery,f. 005r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/p6879c3c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0010_f_005v.tif,10,discovery,f. 005v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/hb28740g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
