"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0001_f_001r.tif","1","discovery","f. 001r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/5d49dc5s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F5d49dc5s"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0002_f_001v.tif","2","discovery","f. 001v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/7920rp9g","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F7920rp9g"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0003_f_002r.tif","3","discovery","f. 002r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/wn78ts8z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fwn78ts8z"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0004_f_002v.tif","4","discovery","f. 002v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/9s097f6n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F9s097f6n"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0005_f_003r.tif","5","discovery","f. 003r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/x779pt9q","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fx779pt9q"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0006_f_003v.tif","6","discovery","f. 003v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/s942m039","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fs942m039"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0007_f_004r.tif","7","discovery","f. 004r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/6m438z3m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F6m438z3m"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0008_f_004v.tif","8","discovery","f. 004v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/9r57mw4v","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F9r57mw4v"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0009_f_005r.tif","9","discovery","f. 005r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/wv48zv7m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fwv48zv7m"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0010_f_005v.tif","10","discovery","f. 005v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/gv94gv9h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fgv94gv9h"
