"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0001_a_1.tif","1","sinai","Front Board Outside","Front matter","","ark:/21198/z11849tz","ark:/21198/z11849tz/t039gm4v","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2Ft039gm4v",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0002_b_000.tif","2","sinai","Front Board Inside","Front matter","","ark:/21198/z11849tz","ark:/21198/z11849tz/4m12mm11","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2F4m12mm11",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0003_f_001r.tif","3","sinai","f. 001r","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/zm93331r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2Fzm93331r",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0004_f_001v.tif","4","sinai","f. 001v","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/6g40h47v","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2F6g40h47v",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0005_f_002r.tif","5","sinai","f. 002r","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/nk151001","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2Fnk151001",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0006_f_002v.tif","6","sinai","f. 002v","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/9n948f0g","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2F9n948f0g",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0007_f_003r.tif","7","sinai","f. 003r","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/3j95pz3j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2F3j95pz3j",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0008_f_003v.tif","8","sinai","f. 003v","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/v053j00f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2Fv053j00f",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0009_f_004r.tif","9","sinai","f. 004r","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/ct956b7s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2Fct956b7s",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0010_f_004v.tif","10","sinai","f. 004v","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/6247gf74","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2F6247gf74",""
"Masters/sinaimasters/ara/arabic_0129/sld_arb0129_0011_f_005r.tif","11","sinai","f. 005r","Text","","ark:/21198/z11849tz","ark:/21198/z11849tz/7794j77x","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 129","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11849tz%2F7794j77x",""
