"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0001_a_1.tif","1","discovery","Front Board Outside","Front matter","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/z241xp88","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fz241xp88",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0002_b_000.tif","2","discovery","Front Board Inside","Front matter","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/3k87gg0m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F3k87gg0m",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0003_f_001ar.tif","3","discovery","f. 001ar","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/06523s6v","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F06523s6v",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0004_f_001av.tif","4","discovery","f. 001av","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/w9404t52","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fw9404t52",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0005_f_001br.tif","5","discovery","f. 001br","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/3878mm0g","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F3878mm0g",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0006_f_001bv.tif","6","discovery","f. 001bv","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/3w77tk2g","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F3w77tk2g",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0007_f_002r.tif","7","discovery","f. 002r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/9p33rv92","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F9p33rv92",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0008_f_002v.tif","8","discovery","f. 002v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/mn16n474","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fmn16n474",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0009_f_003r.tif","9","discovery","f. 003r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/nn816190","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fnn816190",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0010_f_003v.tif","10","discovery","f. 003v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/7h36w91b","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F7h36w91b",""
