File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/sh13g125,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/m732c58h,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/nf771b5d,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/qm71pm2h,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/4015xp7b,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/4m039p42,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/14562x4p,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/2t19nm21,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/tz79s220,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/pm98wm6t,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
