File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0001_f_001r.tif,1,sinai,f. 1r,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/nx61c508,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2Fnx61c508,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0002_f_001v.tif,2,sinai,f. 1v,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/q731rc4j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2Fq731rc4j,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0003_f_002r.tif,3,sinai,f. 2r,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/bc72fq7b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2Fbc72fq7b,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0004_f_002v.tif,4,sinai,f. 2v,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/1g04g41n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2F1g04g41n,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0005_f_003r.tif,5,sinai,f. 3r,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/9n31f516,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2F9n31f516,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0006_f_003v.tif,6,sinai,f. 3v,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/93699p27,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2F93699p27,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0007_f_004r.tif,7,sinai,f. 4r,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/wn39461x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2Fwn39461x,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0008_f_004v.tif,8,sinai,f. 4v,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/w403z85v,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2Fw403z85v,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0009_f_005r.tif,9,sinai,f. 5r,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/vf27hh08,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2Fvf27hh08,
Masters/sinaimasters/ara/arabic_0483/sld_arb0483_0010_f_005v.tif,10,sinai,f. 5v,Text,,ark:/21198/z16d6xc8,ark:/21198/z16d6xc8/gv06222n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 483,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d6xc8%2Fgv06222n,
