"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0001_f_001r.tif","1","discovery","f. 001r","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/9v13s086","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2F9v13s086"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0002_f_001v.tif","2","discovery","f. 001v","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/qq118045","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2Fqq118045"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0003_f_002r.tif","3","discovery","f. 002r","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/mc23md45","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2Fmc23md45"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0004_f_002v.tif","4","discovery","f. 002v","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/92568c7m","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2F92568c7m"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0005_f_003r.tif","5","discovery","f. 003r","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/2c22415h","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2F2c22415h"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0006_f_003v.tif","6","discovery","f. 003v","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/gk19gw76","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2Fgk19gw76"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0007_f_004r.tif","7","discovery","f. 004r","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/bq07x559","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2Fbq07x559"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0008_f_004v.tif","8","discovery","f. 004v","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/tr47f986","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2Ftr47f986"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0009_f_005r.tif","9","discovery","f. 005r","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/z012bc15","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2Fz012bc15"
"Masters/sinaimasters/ara/arabic_0569/sld_arb0569_0010_f_005v.tif","10","discovery","f. 005v","Text","","ark:/21198/z1863krg","ark:/21198/z1863krg/6f88ks7r","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 569","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1863krg%2F6f88ks7r"
