File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/z022tz6s
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/fs06pq98
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0003_f_001r.tif,3,discovery,f. 001r,Text,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/16321748
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0004_f_001v.tif,4,discovery,f. 001v,Text,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/bt11jg27
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0005_f_002r.tif,5,discovery,f. 002r,Text,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/dm04xz8n
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0006_f_002v.tif,6,discovery,f. 002v,Text,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/j190pm0b
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0007_f_003r.tif,7,discovery,f. 003r,Text,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/fv994j95
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0008_f_003v.tif,8,discovery,f. 003v,Text,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/j7771h8b
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0009_f_004r.tif,9,discovery,f. 004r,Text,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/k171nh22
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
Masters/sinaimasters/ara/arabic_0685/sld_arb0685_0010_f_004v.tif,10,discovery,f. 004v,Text,,"ark:/21198/z15d9w6f
","ark:/21198/z15d9w6f/0366pc89
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 685
