"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0001_f_002r.tif","1","discovery","f. 002r","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/5j54vj5r","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2F5j54vj5r",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0002_f_002v.tif","2","discovery","f. 002v","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/gp87wn1c","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2Fgp87wn1c",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0003_f_003r.tif","3","discovery","f. 003r","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/vw28cb8q","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2Fvw28cb8q",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0004_f_003v.tif","4","discovery","f. 003v","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/7m036p51","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2F7m036p51",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0005_f_004r.tif","5","discovery","f. 004r","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/k037gp75","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2Fk037gp75",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0006_f_004v.tif","6","discovery","f. 004v","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/6d24nz44","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2F6d24nz44",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0007_f_005r.tif","7","discovery","f. 005r","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/z6763j7t","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2Fz6763j7t",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0008_f_005v.tif","8","discovery","f. 005v","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/6b816n73","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2F6b816n73",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0009_f_006r.tif","9","discovery","f. 006r","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/pv86hv0k","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2Fpv86hv0k",""
"Masters/sinaimasters/ara/arabic_0093/sld_arb0093_0010_f_006v.tif","10","discovery","f. 006v","Text","","ark:/21198/z1029vvj","ark:/21198/z1029vvj/5b27c27s","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 93","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vvj%2F5b27c27s",""
