File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal,Source
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/nj804g3m,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/7b22825j,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0003_b_001r-2.tif,3,discovery,Flyleaf 001r,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/nx119j72,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0004_b_001r.tif,4,discovery,Flyleaf 001r,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/2d13581n,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0005_b_001v.tif,5,discovery,Flyleaf 001v,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/7v630s6j,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0006_b_002ar.tif,6,discovery,Flyleaf 002r,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/n0734k93,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0007_b_002av.tif,7,discovery,Flyleaf 002v,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/f705ft4v,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0008_b_002br.tif,8,discovery,Flyleaf 002r,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/7z71jw0z,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0009_b_002bv.tif,9,discovery,Flyleaf 002v,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/3k593f5s,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0010_b_003r.tif,10,discovery,Flyleaf 003r,Front matter,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/v355fp8r,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
