"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0001_a_1.tif","1","discovery","Front Board Outside","Front matter","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/4t00g653","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2F4t00g653"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0002_b_000.tif","2","discovery","Front Board Inside","Front matter","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/j762bv3n","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2Fj762bv3n"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0003_f_001r.tif","3","discovery","f. 001r","Text","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/1k25v35j","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2F1k25v35j"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0004_f_001v.tif","4","discovery","f. 001v","Text","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/cz26cg1m","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2Fcz26cg1m"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0005_f_002r.tif","5","discovery","f. 002r","Text","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/7q01zf6z","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2F7q01zf6z"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0006_f_002v.tif","6","discovery","f. 002v","Text","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/bq72k463","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2Fbq72k463"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0007_f_003r.tif","7","discovery","f. 003r","Text","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/bn551m0f","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2Fbn551m0f"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0008_f_003v.tif","8","discovery","f. 003v","Text","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/jw603t4v","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2Fjw603t4v"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0009_f_004r.tif","9","discovery","f. 004r","Text","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/5q81612h","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2F5q81612h"
"Masters/sinaimasters/syr/syriac_0182/sld_syr0182_0010_f_004v.tif","10","discovery","f. 004v","Text","","ark:/21198/z1hq53bd","ark:/21198/z1hq53bd/2t38ff8r","Page","Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 182","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq53bd%2F2t38ff8r"
