File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1w10992,ark:/21198/z1w10992/mk494f7b,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1w10992,ark:/21198/z1w10992/xb91t77d,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/hb94pj9q,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/r8572s31,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/8t02jh13,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/fp77ks19,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/5g046m1x,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/sp47cg7r,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/d835075q,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/5d678b1j,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
Masters/sinaimasters/syr/syriac_0210/sld_syr0210_0011_f_005r.tif,11,discovery,f. 005r,Text,,ark:/21198/z1w10992,ark:/21198/z1w10992/3153f87z,Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 210
