"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0001_a_1.tif","1","sinai","Front Board Outside","Front matter","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/fh85r94k","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2Ffh85r94k",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0002_b_000.tif","2","sinai","Front Board Inside","Front matter","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/7f25qk47","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2F7f25qk47",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0003_f_001r.tif","3","sinai","f. 001r","Text","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/pt245p8w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2Fpt245p8w",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0004_f_001v.tif","4","sinai","f. 001v","Text","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/8592783h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2F8592783h",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0005_f_002r.tif","5","sinai","f. 002r","Text","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/17317r01","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2F17317r01",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0006_f_002v.tif","6","sinai","f. 002v","Text","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/bm39442q","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2Fbm39442q",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0007_f_003r.tif","7","sinai","f. 003r","Text","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/k638qc3h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2Fk638qc3h",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0008_f_003v.tif","8","sinai","f. 003v","Text","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/bk646x2f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2Fbk646x2f",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0009_f_004r.tif","9","sinai","f. 004r","Text","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/1w53b945","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2F1w53b945",""
"Masters/sinaimasters/ara/arabic_0108/sld_arb0108_0010_f_004v.tif","10","sinai","f. 004v","Text","","ark:/21198/z1834wfh","ark:/21198/z1834wfh/1b607p9v","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 108","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2F1b607p9v",""
