File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal,Source
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0001_f_001r-2.tif,1,discovery,f. 001r,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/v050hk51
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0002_f_001r.tif,2,discovery,f. 001r,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/t864fh67
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0003_f_001v.tif,3,discovery,f. 001v,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/rz59pm12
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0004_f_002r.tif,4,discovery,f. 002r,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/85861j4h
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0005_f_002v.tif,5,discovery,f. 002v,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/z062t70x
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0006_f_003r.tif,6,discovery,f. 003r,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/w036333c
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0007_f_003v.tif,7,discovery,f. 003v,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/dq18bf3s
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0008_f_004r.tif,8,discovery,f. 004r,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/0j91r36f
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0009_f_004v.tif,9,discovery,f. 004v,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/b0928g78
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
Masters/sinaimasters/ara/arabic_0422/sld_arb0422_0010_f_005r.tif,10,discovery,f. 005r,Text,,"ark:/21198/z1p56rx9
","ark:/21198/z1p56rx9/2z468s02
",ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 422
