File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0001_a_1.tif,1,sinai,Front Board Outside,Front matter,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/0809cs22,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0002_b_000.tif,2,sinai,Front Board Inside,Front matter,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/m267cg94,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0003_b_000r.tif,3,sinai,Front Paste Down Recto,Front matter,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/3k30k73d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0004_b_000v.tif,4,sinai,Front Paste Down Verso,Front matter,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/1j67th6p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0005_b_001r.tif,5,sinai,Flyleaf 001r,Front matter,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/f095pf3w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0006_b_001v.tif,6,sinai,Flyleaf 001v,Front matter,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/rb057x6x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0007_f_001ar.tif,7,sinai,f. 001ar,Text,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/g4528165,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0008_f_001av.tif,8,sinai,f. 001av,Text,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/m551pk45,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0009_f_001br.tif,9,sinai,f. 001br,Text,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/tk25m678,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
Masters/sinaimasters/ara/arabic_0579/sld_arb0579_0010_f_001bv.tif,10,sinai,f. 001bv,Text,,ark:/21198/z1892qj3,ark:/21198/z1892qj3/f796vn4q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 579,,
