File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0001_a_1.tif,1,sinai,Front Board Outside,Front matter,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/9n803k72,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0002_b_000.tif,2,sinai,Front Board Inside,Front matter,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/jq39qq2d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0003_f_001r.tif,3,sinai,f. 001r,Text,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/n083hc3t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0004_f_001v.tif,4,sinai,f. 001v,Text,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/j1176t3p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0005_f_002r.tif,5,sinai,f. 002r,Text,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/f548vj6g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0006_f_002v.tif,6,sinai,f. 002v,Text,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/rx36p83n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0007_f_003r.tif,7,sinai,f. 003r,Text,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/rh50ww5q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0008_f_003v.tif,8,sinai,f. 003v,Text,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/81232k8r,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0009_f_004r.tif,9,sinai,f. 004r,Text,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/6b973k9w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
Masters/sinaimasters/syr/syriac_0250/sld_syr0250_0010_f_004v.tif,10,sinai,f. 004v,Text,,ark:/21198/z13r2bjg,ark:/21198/z13r2bjg/xc222r8b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 250,,
