"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0001_a_1.tif","1","sinai","Front Board Outside","Front matter","","ark:/21198/z19w2080","ark:/21198/z19w2080/xm67c361","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2Fxm67c361"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0002_b_000.tif","2","sinai","Front Board Inside","Front matter","","ark:/21198/z19w2080","ark:/21198/z19w2080/vs355n5c","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2Fvs355n5c"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0003_f_001r.tif","3","sinai","f. 001r","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/1j75ns9p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2F1j75ns9p"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0004_f_001v.tif","4","sinai","f. 001v","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/fc299g4c","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2Ffc299g4c"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0005_f_002r.tif","5","sinai","f. 002r","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/dn170p5z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2Fdn170p5z"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0006_f_002v.tif","6","sinai","f. 002v","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/0493p20p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2F0493p20p"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0007_f_003r.tif","7","sinai","f. 003r","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/7q86503w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2F7q86503w"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0008_f_003v.tif","8","sinai","f. 003v","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/s600w987","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2Fs600w987"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0009_f_004r.tif","9","sinai","f. 004r","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/nc80tn4t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2Fnc80tn4t"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0010_f_004v.tif","10","sinai","f. 004v","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/0z63zr1h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2F0z63zr1h"
"Masters/sinaimasters/syr/syriac_0173/sld_syr0173_0011_f_005r.tif","11","sinai","f. 005r","Text","","ark:/21198/z19w2080","ark:/21198/z19w2080/9s55vp0z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 173","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2080%2F9s55vp0z"
