File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0001_f_001r.tif,1,sinai,f. 1r,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/c921sr5w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2Fc921sr5w,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0002_f_001v.tif,2,sinai,f. 1v,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/9549504h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2F9549504h,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0003_f_002r.tif,3,sinai,f. 2r,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/wx79183g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2Fwx79183g,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0004_f_002v.tif,4,sinai,f. 2v,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/1c31cf3r,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2F1c31cf3r,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0005_f_003r.tif,5,sinai,f. 3r,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/bg01bw3z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2Fbg01bw3z,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0006_f_003v.tif,6,sinai,f. 3v,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/gc66sc6d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2Fgc66sc6d,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0007_f_004r.tif,7,sinai,f. 4r,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/cw86x01p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2Fcw86x01p,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0008_f_004v.tif,8,sinai,f. 4v,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/5q36kj5f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2F5q36kj5f,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0009_f_005r.tif,9,sinai,f. 5r,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/2096bj7t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2F2096bj7t,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0010_f_005v.tif,10,sinai,f. 5v,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/1n22xs59,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2F1n22xs59,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0011_f_006r.tif,11,sinai,f. 6r,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/j815s14c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2Fj815s14c,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0012_f_006v.tif,12,sinai,f. 6v,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/f789rs9w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2Ff789rs9w,
Masters/sinaimasters/ara/arabic_0687/sld_arb0687_0013_f_007r.tif,13,sinai,f. 7r,Text,,ark:/21198/z1km118r,ark:/21198/z1km118r/w1032d44,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 687,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km118r%2Fw1032d44,
