"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0001_f_001r.tif","1","sinai","f. 001r","Text","","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/4555m79t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2F4555m79t"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0002_f_001v.tif","2","sinai","f. 001v","Text","","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/t817m97t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2Ft817m97t"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0003_f_002r.tif","3","sinai","f. 002r","Text","","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/x250jz9m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2Fx250jz9m"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0004_f_002v.tif","4","sinai","f. 002v","Text","","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/8x27c57z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2F8x27c57z"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0005_f_005r.tif","5","sinai","f. 005r","Text","","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/6c62n12n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2F6c62n12n"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0006_f_005v.tif","6","sinai","f. 005v","Text","","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/k252ps61","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2Fk252ps61"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0007_f_006r.tif","7","sinai","f. 006r","Text","","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/h648md0s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2Fh648md0s"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0008_f_006v.tif","8","sinai","f. 006v","Text","","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/6c47m60q","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2F6c47m60q"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0009_z_2.tif","9","sinai","Spine"," ","non-paged","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/qp54x874","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2Fqp54x874"
"Masters/sinaimasters/syrnf/syriac_nf_m_0035/sld_syrnfm0035_0010_z_3.tif","10","sinai","Fore edge"," ","non-paged","ark:/21198/z12539fx","ark:/21198/z1rv2dzm/vm08dk08","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac NF M 35","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2Fvm08dk08"
