File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_001r.tif,1,sinai,001r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_001v.tif,2,sinai,001v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_002r.tif,3,sinai,002r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_002v.tif,4,sinai,002v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_003r.tif,5,sinai,003r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_003v.tif,6,sinai,003v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_003_sr.tif,7,sinai,003 Stub Recto,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_003_sv.tif,8,sinai,003 Stub Verso,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_004r.tif,9,sinai,004r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_004v.tif,10,sinai,004v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_005r.tif,11,sinai,005r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_005v.tif,12,sinai,005v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_006r.tif,13,sinai,006r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_006v.tif,14,sinai,006v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_007r.tif,15,sinai,007r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_007v.tif,16,sinai,007v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_008r.tif,17,sinai,008r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_008v.tif,18,sinai,008v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_009r.tif,19,sinai,009r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_009v.tif,20,sinai,009v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_010r.tif,21,sinai,010r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_010v.tif,22,sinai,010v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_011r.tif,23,sinai,011r,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_f_011v.tif,24,sinai,011v,,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_z_2.tif,25,sinai,Spine,,non-paged,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_z_3.tif,26,sinai,Fore edge,,non-paged,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_z_4.tif,27,sinai,Head,,non-paged,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
Masters/sinaimasters/syrnf/syriac_nf_x_0027sld_syrnfx0027_z_5.tif,28,sinai,Tail,,non-paged,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 27,,
