"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0001_a_1.tif","1","sinai","Front Board Outside","Front matter","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/0x986945","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2F0x986945"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0002_b_000.tif","2","sinai","Front Board Inside","Front matter","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/5p61kj6j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2F5p61kj6j"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0003_f_001r.tif","3","sinai","f. 001r","Text","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/1d27f55s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2F1d27f55s"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0004_f_001v.tif","4","sinai","f. 001v","Text","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/2c999x7d","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2F2c999x7d"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0005_f_002r.tif","5","sinai","f. 002r","Text","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/bs417p7g","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2Fbs417p7g"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0006_f_002v.tif","6","sinai","f. 002v","Text","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/99921f9f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2F99921f9f"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0007_f_003r.tif","7","sinai","f. 003r","Text","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/8w06pc03","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2F8w06pc03"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0008_f_003v.tif","8","sinai","f. 003v","Text","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/tj31kb56","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2Ftj31kb56"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0009_f_004r.tif","9","sinai","f. 004r","Text","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/hn90v476","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2Fhn90v476"
"Masters/sinaimasters/aranf/arabic_nf_x_0009/sld_arbnfx0009_0010_f_004v.tif","10","sinai","f. 004v","Text","","ark:/21198/z1sx8cqb","ark:/21198/z1sx8cqb/jg93k06p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF X 9","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8cqb%2Fjg93k06p"
