File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0001_f_001r.tif,1,sinai,f. 1r,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/1n53w74b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2F1n53w74b
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0002_f_001v.tif,2,sinai,f. 1v,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/dm00bn1z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2Fdm00bn1z
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0003_f_002r.tif,3,sinai,f. 2r,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/v255049f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2Fv255049f
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0004_f_002v.tif,4,sinai,f. 2v,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/3n98t767,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2F3n98t767
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0005_f_003r.tif,5,sinai,f. 3r,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/jj18b91q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2Fjj18b91q
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0006_f_003v.tif,6,sinai,f. 3v,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/h0141z08,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2Fh0141z08
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0007_f_004r.tif,7,sinai,f. 4r,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/jk735k5w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2Fjk735k5w
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0008_f_004v.tif,8,sinai,f. 4v,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/vf05j69s,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2Fvf05j69s
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0009_f_005r.tif,9,sinai,f. 5r,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/q941j716,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2Fq941j716
Masters/sinaimasters/aranf/arabic_nf_x_0028/sld_arbnfx0028_0010_f_005v.tif,10,sinai,f. 5v,Text,,ark:/21198/z1wt0ss2,ark:/21198/z1wt0ss2/9107sz9z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 28,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0ss2%2F9107sz9z
