"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0001_a_1.tif","1","sinai","Front Boad Outside","Front matter","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/ww54ns77","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2Fww54ns77"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0002_b_000.tif","2","sinai","Front Boad Inside","Front matter","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/gq13z91s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2Fgq13z91s"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0003_f_001r.tif","3","sinai","f. 001r","Text","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/jk52hx5s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2Fjk52hx5s"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0004_f_001v.tif","4","sinai","f. 001v","Text","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/wk85344f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2Fwk85344f"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0005_f_001z.tif","5","sinai","f. 001z","Text","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/0257n92h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2F0257n92h"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0006_f_002a.tif","6","sinai","f. 002a","Text","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/2786rp3d","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2F2786rp3d"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0007_f_002r.tif","7","sinai","f. 002r","Text","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/t071g57x","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2Ft071g57x"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0008_f_002v.tif","8","sinai","f. 002v","Text","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/zk02st7g","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2Fzk02st7g"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0009_f_002z.tif","9","sinai","f. 002z","Text","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/p5354r68","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2Fp5354r68"
"Masters/sinaimasters/syr/syriac_0003b/sld_syr0003b_0010_f_003a.tif","10","sinai","f. 003a","Text","","ark:/21198/z1wq2397","ark:/21198/z1wq2397/5c29hk7h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Syriac 3B","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2397%2F5c29hk7h"
