File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0001_a_1.tif,1,sinai,Flyleaf 1r,Front matter,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/vk026s5x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2Fvk026s5x,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0002_b_000.tif,2,sinai,Flyleaf 1v,Front matter,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/w537cz0h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2Fw537cz0h,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0003_f_001r.tif,3,sinai,f. 1r,Text,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/5w87zv0p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2F5w87zv0p,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0004_f_001v.tif,4,sinai,f. 1v,Text,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/gs884q0k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2Fgs884q0k,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0005_f_002r.tif,5,sinai,f. 2r,Text,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/6h84dv71,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2F6h84dv71,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0006_f_002v.tif,6,sinai,f. 2v,Text,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/zv02wp6r,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2Fzv02wp6r,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0007_f_003r.tif,7,sinai,f. 3r,Text,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/v276m584,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2Fv276m584,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0008_f_003v.tif,8,sinai,f. 3v,Text,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/d557185j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2Fd557185j,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0009_f_004r.tif,9,sinai,f. 4r,Text,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/7h02tr10,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2F7h02tr10,
Masters/sinaimasters/syrnf/syriac_nf_x_0017/sld_syrnfx0017_0010_f_004v.tif,10,sinai,f. 4v,Text,,ark:/21198/z1gf2t29,ark:/21198/z1gf2t29/st37v633,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF X 17,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t29%2Fst37v633,
