"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0001_f_001r.tif","1","sinai","f. 001r","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/sw43zc5x","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fsw43zc5x",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0002_f_001v.tif","2","sinai","f. 001v","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/h008p740","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fh008p740",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0003_f_002r.tif","3","sinai","f. 002r","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/hq11sf52","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fhq11sf52",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0004_f_002v.tif","4","sinai","f. 002v","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/pp08t512","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fpp08t512",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0005_f_003r.tif","5","sinai","f. 003r","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/r561km34","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fr561km34",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0006_f_003v.tif","6","sinai","f. 003v","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/m130cp0d","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fm130cp0d",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0007_f_004r.tif","7","sinai","f. 004r","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/t782tc9s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Ft782tc9s",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0008_f_004v.tif","8","sinai","f. 004v","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/sp936f14","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fsp936f14",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0009_f_005r.tif","9","sinai","f. 005r","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/sm13n143","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fsm13n143",""
"Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0010_f_005v.tif","10","sinai","f. 005v","Text","","ark:/21198/z1rr3qbm","ark:/21198/z1rr3qbm/cp48h463","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 15","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3qbm%2Fcp48h463",""
