"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0001_f_001r.tif","1","sinai","f. 001r","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/8955pz78","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F8955pz78"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0002_f_001v.tif","2","sinai","f. 001v","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/4r187q07","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F4r187q07"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0003_f_002r.tif","3","sinai","f. 002r","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/9b20c459","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F9b20c459"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0004_f_002v.tif","4","sinai","f. 002v","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/js06st1f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fjs06st1f"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0005_f_003r.tif","5","sinai","f. 003r","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/v2739s67","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fv2739s67"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0006_f_003v.tif","6","sinai","f. 003v","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/t817sm29","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Ft817sm29"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0007_f_004r.tif","7","sinai","f. 004r","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/bn880b1j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fbn880b1j"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0008_f_004v.tif","8","sinai","f. 004v","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/5429442c","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F5429442c"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0009_f_005r.tif","9","sinai","f. 005r","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/0g217r07","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F0g217r07"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0010_f_005v.tif","10","sinai","f. 005v","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/8c06x09c","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F8c06x09c"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0011_f_006r.tif","11","sinai","f. 006r","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/dj34k280","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fdj34k280"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0012_f_006v.tif","12","sinai","f. 006v","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/gs114h25","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fgs114h25"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0013_f_007r.tif","13","sinai","f. 007r","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/kf70g59p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fkf70g59p"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0014_f_007v.tif","14","sinai","f. 007v","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/hr47z44n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fhr47z44n"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0015_f_008r.tif","15","sinai","f. 008r","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/b390qq66","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fb390qq66"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0016_f_008v.tif","16","sinai","f. 008v","Text","","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/bd93x732","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fbd93x732"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0017_z_2.tif","17","sinai","Spine"," ","non-paged","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/cg578z92","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fcg578z92"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0018_z_3.tif","18","sinai","Fore edge"," ","non-paged","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/6m12kg2j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F6m12kg2j"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0019_z_4.tif","19","sinai","Head"," ","non-paged","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/k7155z1r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2Fk7155z1r"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/sld_arbnfm0053_0020_z_5.tif","20","sinai","Tail"," ","non-paged","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/2g20nr9z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F2g20nr9z"
"Masters/sinaimasters/aranf/arabic_nf_m_0053/calibration_right.tif","21","sinai","Calibration Right"," ","non-paged","ark:/21198/z1gx7n59","ark:/21198/z1gx7n59/2g30qk5m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic NF M 53","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx7n59%2F2g30qk5m"
