"Shelfmark","Item ARK","Object Type","Date.normalized","Date.creation","Format.extent","Format.weight","Format","Format.dimensions","Support","Language","delivery","Comments","User Comments"
"Sinai Arabic NF M 20","","Work","","","14 ff.","81.9 g","codex","226 x 170 x 29.0 mm","Parchment","Arabic","8.2","ff. 7v-10r stuck together",""
"Sinai Arabic NF M 22","","Work","","","6 ff.","34.0 g","codex","218 x 156 x 13.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 30","","Work","","","6 ff.","46.0 g","codex","229 x 162 x 12.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 31","","Work","","","5 ff.","39.8 g","codex","251 x 162 x 24.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 42","","Work","","","24 ff.","98.4 g","codex","218 x 177 x 25.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 43","","Work","","","6 ff.","36.6 g","codex","129 x 151 x 7.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 44","","Work","","","16 ff.","113.6 g","codex","124 x 176 x 19.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 45","","Work","","","4 ff.","19.8 g","codex","216 x 161 x 6.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 46","","Work","867","867","7 ff.","35.2 g","codex","229 x 176 x 14.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 47","","Work","","","6 ff.","32.1 g","codex","226 x 176 x 11.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 48","","Work","","","9 ff.","68.3 g","codex","119 x 178 x 18.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 50","","Work","","","22 ff.","91.2 g","codex","198 x 154 x 20.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 51","","Work","","","8 ff.","21.6 g","codex","197 x 151 x 20.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 52","","Work","","","11 ff.","73.8 g","codex","272 x 195 x 11.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 53","","Work","","","8 ff.","53.2 g","codex","272 x 186 x 10.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 55","","Work","","","8 ff.","32.7 g","codex","169 x 129 x 12.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 62","","Work","","","8 ff.","38.8 g","codex","150 x 134 x 15.0 mm","Parchment","Arabic","8.2","Palimpsests very faint Syriac undertext",""
"Sinai Arabic NF M 63","","Work","","","10 ff.","33.9 g","codex","205 x 139 x 19.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 64","","Work","","","4 ff.","25.6 g","codex","207 x 157 x 9.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 65","","Work","","","2 ff.","11.9 g","codex","229 x 162 x 4.0 mm","Parchment","Arabic","8.2","","2v could benefit from spectral imaging"
"Sinai Arabic NF M 67","","Work","","","4 ff.","35.1 g","codex","266 x 184 x 13.0 mm","Parchment","Arabic;Syriac","8.2","",""
"Sinai Arabic NF M 68","","Work","","","2 ff.","11.3 g","codex","209 x 129 x 9.0 mm","Parchment","Arabic","8.2","",""
"Sinai Arabic NF M 70","","Work","972/980","10th c.","2 ff.","8.4 g","codex","216 x 170 x 3.0 mm","Parchment","Arabic","8.2","2 single folio fragments",""
"Sinai Syriac NF M 36","","Work","","","5 ff.","41.9 g","codex","243 x 201 x 12.0 mm","Parchment","Syriac","8.2","",""
"Sinai Syriac NF M 44","","Work","","","2 ff.","25.2 g","codex","276 x 212 x 10.0 mm","Parchment","Syriac","8.2","","was used as pastedown in the past"
"Sinai Syriac NF M 45","","Work","901/1000","10th c.","17 ff.","210.5 g","codex","301 x 224 x 35.0 mm","Parchment","Syriac","8.2","",""
"Sinai Syriac NF M 46","","Work","701/800","8th c.","20 ff.","85.1 g","codex","177 x 113 x 33.0 mm","Parchment","Syriac","8.2","",""
"Sinai Syriac NF M 47","","Work","501/600","6th c.","9 ff.","51.3 g","codex","193 x 130 x 20.0 mm","Parchment","Syriac","8.2","",""
"Sinai Syriac NF M 48","","Work","","","19 ff.","67.2 g","codex","179 x 120 x 35.0 mm","Parchment","Syriac","8.2","",""
"Sinai Syriac NF M 50","","Work","","","11 ff.","50.4 g","codex","214 x 164 x 16.0 mm","Parchment","Syriac","8.2","",""
"Sinai Syriac NF M 51","","Work","501/600","6th c.","10 ff.","70.8 g","codex","224 x 148 x 18.0 mm","Parchment","Syriac","8.2","","outside folia could benefit from spectral imaging"
"Sinai Syriac NF M 53","","Work","401/500","5th c.","10 ff.","82.4 g","codex","257 x 181 x 17.0 mm","Parchment","Syriac","8.2","",""
"Sinai Syriac NF M 57","","Work","901/1000","10th c.","31 ff.","153.9 g","codex","204 x 131 x 29.0 mm","Parchment","Syriac","8.2","",""
"Sinai Syriac NF M 58","","Work","701/900","8th c.","8 ff.","35.8 g","codex","205 x 166 x 12.0 mm","Parchment","CPA","8.2","",""
