File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0001_f_128r.tif,1,sinai,f. 128r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0002_f_128v.tif,2,sinai,f. 128v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0003_f_129r.tif,3,sinai,f. 129r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0004_f_129v.tif,4,sinai,f. 129v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0005_f_130r.tif,5,sinai,f. 130r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0006_f_130v.tif,6,sinai,f. 130v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0007_f_131r.tif,7,sinai,f. 131r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0008_f_131v.tif,8,sinai,f. 131v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0009_f_132r.tif,9,sinai,f. 132r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0010_f_132v.tif,10,sinai,f. 132v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0011_f_133r.tif,11,sinai,f. 133r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0012_f_133v.tif,12,sinai,f. 133v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0013_f_134r.tif,13,sinai,f. 134r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0014_f_134v.tif,14,sinai,f. 134v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0015_f_135r.tif,15,sinai,f. 135r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0016_f_135v.tif,16,sinai,f. 135v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0017_f_136r.tif,17,sinai,f. 136r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0018_f_136v.tif,18,sinai,f. 136v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0019_f_137r.tif,19,sinai,f. 137r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0020_f_137v.tif,20,sinai,f. 137v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0021_f_138r.tif,21,sinai,f. 138r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0022_f_138v.tif,22,sinai,f. 138v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0023_f_139r.tif,23,sinai,f. 139r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0024_f_139v.tif,24,sinai,f. 139v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0025_f_140r.tif,25,sinai,f. 140r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0026_f_140v.tif,26,sinai,f. 140v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
Masters/sinaimasters/aranf/arabic_nf_m_0028/sld_arbnfm0028_0027_f_141r.tif,27,sinai,f. 141r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 28
