File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0001_f_001r.tif,1,sinai,f. 001r,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/8w74xd49,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2F8w74xd49
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0002_f_001v.tif,2,sinai,f. 001v,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/6h09nb04,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2F6h09nb04
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0003_f_002r.tif,3,sinai,f. 002r,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/qw39x08m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Fqw39x08m
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0004_f_002v.tif,4,sinai,f. 002v,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/2k84hh0h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2F2k84hh0h
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0005_f_003r.tif,5,sinai,f. 003r,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/cp81808h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Fcp81808h
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0006_f_003v.tif,6,sinai,f. 003v,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/9f32sr6t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2F9f32sr6t
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0007_f_004r.tif,7,sinai,f. 004r,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/bg55zc75,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Fbg55zc75
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0008_f_004v.tif,8,sinai,f. 004v,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/ff91mt9c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Fff91mt9c
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0009_f_005r.tif,9,sinai,f. 005r,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/br18q12m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Fbr18q12m
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0010_f_005v.tif,10,sinai,f. 005v,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/5s40h064,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2F5s40h064
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0011_f_006r.tif,11,sinai,f. 006r,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/t5195z81,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Ft5195z81
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0012_f_006v.tif,12,sinai,f. 006v,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/fw32xq0m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Ffw32xq0m
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0013_f_007r.tif,13,sinai,f. 007r,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/9991zt01,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2F9991zt01
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0014_f_007v.tif,14,sinai,f. 007v,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/tf73nd1t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Ftf73nd1t
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0015_f_008r.tif,15,sinai,f. 008r,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/sh75vv56,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Fsh75vv56
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0016_f_008v.tif,16,sinai,f. 008v,Text,,ark:/21198/z14x70x6,ark:/21198/z14x70x6/k945874c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Fk945874c
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0017_z_2.tif,17,sinai,Spine, ,non-paged,ark:/21198/z14x70x6,ark:/21198/z14x70x6/22839n9w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2F22839n9w
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0018_z_3.tif,18,sinai,Fore edge, ,non-paged,ark:/21198/z14x70x6,ark:/21198/z14x70x6/f521701z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Ff521701z
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0019_z_4.tif,19,sinai,Head, ,non-paged,ark:/21198/z14x70x6,ark:/21198/z14x70x6/z141zw66,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Fz141zw66
Masters/sinaimasters/aranf/arabic_nf_m_0005/sld_arbnfm0005_0020_z_5.tif,20,sinai,Tail, ,non-paged,ark:/21198/z14x70x6,ark:/21198/z14x70x6/9x23sn1t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 5,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2F9x23sn1t
