File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0001_f_001r.tif,1,sinai,f. 001r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/rz021n4k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0002_f_002r.tif,2,sinai,f. 002r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/g845cx41,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0003_f_003r.tif,3,sinai,f. 003r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/ss40qp29,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0004_f_004r.tif,4,sinai,f. 004r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/mq994103,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0005_f_005r.tif,5,sinai,f. 005r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/jj330k73,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0006_f_006r.tif,6,sinai,f. 006r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/3g92wh5w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0007_f_007r.tif,7,sinai,f. 007r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/s323sw2x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0008_f_008r.tif,8,sinai,f. 008r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/6b93bt9q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0009_f_009r.tif,9,sinai,f. 009r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/2k19pp7h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
Masters/sinaimasters/aranf/arabic_nf_m_0015/sld_arbnfm0015_0010_f_010r.tif,10,sinai,f. 010r,Text,,ark:/21198/z1rr3qbm,ark:/21198/z1rr3qbm/3v06p87n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 15
