File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0001_f_001r.tif,1,sinai,f. 1r,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/3t26hv9c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2F3t26hv9c
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0002_f_001v.tif,2,sinai,f. 1v,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/sj21670n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2Fsj21670n
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0003_f_002r.tif,3,sinai,f. 2r,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/9d066x4m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2F9d066x4m
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0004_f_002v.tif,4,sinai,f. 2v,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/nk87s004,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2Fnk87s004
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0005_f_003r.tif,5,sinai,f. 3r,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/bx30f00m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2Fbx30f00m
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0006_f_003v.tif,6,sinai,f. 3v,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/wg87sw62,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2Fwg87sw62
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0007_f_004r.tif,7,sinai,f. 4r,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/0p53zx01,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2F0p53zx01
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0008_f_004v.tif,8,sinai,f. 4v,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/kr34858p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2Fkr34858p
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0009_f_005r.tif,9,sinai,f. 5r,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/s197509j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2Fs197509j
Masters/sinaimasters/aranf/arabic_nf_x_0004/sld_arbnfx0004_0010_f_005v.tif,10,sinai,f. 5v,Text,,ark:/21198/z1h726vd,ark:/21198/z1h726vd/vd03dm5b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF X 4,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2Fvd03dm5b
