File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Author,Associated name,Translator,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Form,Format.dimensions,Support,Foliation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,Collection (physical),Other version(s),image count,IIIF Manifest URL,delivery
,,"St. Catherine's Monastery, Sinai Arabic 1","Books of Job, Daniel, Jeremiah and Ezekiel","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w4z1w%2Fkw02bh3h/full/600,/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z18w4z1w,Work,,Bible. Job|~|Bible. Daniel|~|Bible. Jeremiah|~|Bible. Ezekiel,,801/900,,9th c.,,,,,,,,,Kamil,,,148 ff.,codex,242 x 170 x 67 mm,parchment,,,,,,,,,,,text,Biblical texts,ara,right-to-left,Arabic,Kufic,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 1,Sinai. Old Collection,https://www.loc.gov/item/00279385767-ms/,306,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w4z1w/manifest,delivery 5.1
,,"St. Catherine's Monastery, Sinai Arabic 10",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v40q2%2Fh373d79s/full/600,/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z12v40q2,Work,,Bible. Pentateuch,,1233,,1233,,,,,"Genesis, Exodus, Leviticus, Numbers and Deuteronomy with some introductory notices",,,,Kamil,,,205 ff.,codex,278 x 198 x 83 mm,paper,,,,,,,,,Dated,,text,Biblical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 10,Sinai. Old Collection,https://www.loc.gov/item/00279385810-ms/,421,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v40q2/manifest,delivery 4.3
,,"St. Catherine's Monastery, Sinai Arabic 100",Four Gospels,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns1z7t%2Fxh343x54/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1ns1z7t,Work,,Bible. Gospels,,1201/1300,,13th c.,,,,,,,,,Kamil,,,195 ff.,codex,260 x 180 x 52 mm,paper,,,,,,,,,Rubrication,f. 1 split. Rodent damage on fore-edge.,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 100,Sinai. Old Collection,http://merhav.nli.org.il/primo-explore/fulldisplay?docid=NNL_ALEPH003891612&context=L&vid=NLI&search_scope=Local&tab=default_tab&lang=en_US,400,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns1z7t/manifest,delivery 1
,,"St. Catherine's Monastery, Sinai Arabic 102",Four Gospels,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv5n31%2F2744gm6b/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1cv5n31,Work,,Bible. Gospels,,1201/1300,,13th c.,,,,,,,,,Kamil,,,218 ff.,codex,216 x 153 x 74 mm,paper,,,,,,,,,Rubrication|~|Marginalia,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 102,Sinai. Old Collection,,446,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cv5n31/manifest,delivery 4.1
,,"St. Catherine's Monastery, Sinai Arabic 104",Four Gospels,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36g3q%2Fhp36gr3j/full/600,/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1x36g3q,Work,,Bible. Gospels,,1281,,1281,,,,,Followed by chapter index and divided according to Greek Calendar,,,,Kamil,,,295 ff.,codex,227 x 163 x 92 mm,paper,,,,,,,,,Dated,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 104,Sinai. Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891573/NLI,606,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x36g3q/manifest,delivery 4.3
,,"St. Catherine's Monastery, Sinai Arabic 108",Four Gospels,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2F1g22z24h/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1834wfh,Work,,Bible. Gospels,,1201/1300,,13th c.,,,,,,,,,Kamil,,,247 ff.,codex,208 x 165 x 85 mm,paper,f. 111 written as 101,,,,,,,,Rubrication|~|Marginalia|~|Colophon,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 108,Sinai. Old Collection,,504,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1834wfh/manifest,delivery 4.1
,,"St. Catherine's Monastery, Sinai Arabic 109",Four Gospels,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b44rm%2Fxn402r6g/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z14b44rm,Work,,Bible. Gospels,,1201/1300,,13th c.,,,,,,,,,Kamil,,,320 ff.,codex,215 x 161 x 101 mm,paper,f. 303 written as 203,,,,,,,,Rubrication|~|Marginalia|~|Colophon,signs of forcable opening at top outer corners ; fols. 1-4 have rodent damage,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 109,Sinai. Old Collection,,655,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14b44rm/manifest,delivery 4.1
,,"St. Catherine's Monastery, Sinai Arabic 11",Prophetologion and Varia,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g24xj%2Fc7603g0w/full/600,/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z11g24xj,Work,,Prophetologion,,1116,,1116,,,,,"Prophetologion. Lessons from Prophets recited during Lent, Holy Week and feast days for whole year preceded by verses from Psalms, ends with several treatises on the determination of Lent, the Oecumenical Councils, and a comparative study of the Calendars from Adam, Alexander, the Christian Era and the Moslem Hijra",,,,Kamil,,,176 ff.,codex,179 x 132 x 57 mm,paper,,,,,,,,,Dated,,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 11,Sinai. Old Collection,https://www.loc.gov/item/00279385809-ms/,362,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g24xj/manifest,delivery 5.1
,,"St. Catherine's Monastery, Sinai Arabic 110",Four Gospels,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5qbj%2Fxf09n096/full/600,/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1sb5qbj,Work,,Bible. Gospels,,1286,,1286,,,,,Divided according to Greek Calendar and followed by tables of readings for the whole year,,,,Kamil,,,234 ff.,codex,235 x 159 x 71 mm,paper,,,,,,,,,Dated,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 110,Sinai. Old Collection,https://www.loc.gov/item/00279386796-ms/,478,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb5qbj/manifest,delivery 4.3
,,"St. Catherine's Monastery, Sinai Arabic 111",Four Gospels,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz3vn2%2Ftw06qv95/full/600,/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1qz3vn2,Work,,Bible. Gospels,,1201/1300,,13th c.,,,,,,,,,Kamil,,,325 ff.,codex,190 x 147 x 104 mm,paper,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 111,Sinai. Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871373,662,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz3vn2/manifest,delivery 5.1
