File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,Related,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Undertext Objects,Overtext Manuscript,Place of origin,Date.normalized,Date.creation,Scribe,Author,Associated Name,Contributors,Contents note,Contents,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Format.weight,Form,Format.dimensions,Folio dimensions,Support,Foliation,Collation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Binding condition,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,Collection,Other version(s),IIIF Manifest URL,delivery,image count,Viscodex
,,"Sinai, St. Catherine’s Monastery, Arabic 1",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w4z1w%2Fkw02bh3h/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z18w4z1w,Work,,Bible. Job|~|Bible. Daniel|~|Bible. Jeremiah|~|Bible. Ezekiel|~|Bible. Old Testament,,,,801/900,9th c. CE,,,,,"Books of Job, Daniel, Jeremiah and Ezekiel",,,,,Kamil,,,148 ff.,1004.6 g,Codex,242 x 170 x 67 mm,,Parchment,,,,,,,,,,,,,text,Biblical texts,ara,right-to-left,Arabic,Kufic,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 1,Old Collection,https://www.loc.gov/item/00279385767-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w4z1w/manifest,delivery 5.1,306,
,,"Sinai, St. Catherine’s Monastery, Arabic 10",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v40q2%2Fh373d79s/full/!200,200/0/default.jpg",,individuals,ark:/21198/z1bk2gmg,ark:/21198/z12v40q2,Work,,Bible. Pentateuch|~|Bible. Old Testament,,,,1233,1233 CE,,,,,"Genesis, Exodus, Leviticus, Numbers and Deuteronomy with some introductory notices",,,,,Kamil,,,205 ff.,1771.5 g,Codex,278 x 198 x 83 mm,,Paper,,,,,,,,,,,Dated,,text,Biblical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 10,Old Collection,https://www.loc.gov/item/00279385810-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v40q2/manifest,delivery 4.3,421,
,,"Sinai, St. Catherine’s Monastery, Arabic 100",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns1z7t%2Fxh343x54/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1ns1z7t,Work,Four Gospels,Bible. Gospels,,,,1201/1300,13th c. CE,,,,,,,,,,Kamil,,,195 ff.,1054.5 g,Codex,260 x 180 x 52 mm,,Paper,,,,,,,,,,,Rubrication|~|Marginalia,f. 1 split. Rodent damage on fore-edge.,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 100,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891612 ,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns1z7t/manifest,delivery 1,400,
,,"Sinai, St. Catherine’s Monastery, Arabic 102",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv5n31%2F2744gm6b/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1cv5n31,Work,Four Gospels,Bible. Gospels,,,,1201/1300,13th c. CE,,,,,,,,,,Kamil,,,218 ff.,1152.5 g,Codex,216 x 153 x 74 mm,,Paper,,,,,Decoration on f. 42r,,,,,,"Rubrication|~|Decoration, Geometric",,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 102,Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cv5n31/manifest,delivery 4.1,446,
,,"Sinai, St. Catherine’s Monastery, Arabic 103",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709sm2%2Ffk426p4t/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1709sm2,Work,Four Gospels,Bible. Gospels,,,,1201/1300,13th c. CE,,,,,"Divided according to Greek Calendar. Each Gospel preceded by chapter index, and all followed by tables of Gospel readings for the year",,,,,Kamil,,,311 ff.,849.9 g,Codex,152 x 142 x 92.0 mm,,Paper,,,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 103,Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1709sm2/manifest,delivery 7.1,633,
,,"Sinai, St. Catherine’s Monastery, Arabic 104",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36g3q%2Fhp36gr3j/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1x36g3q,Work,Four Gospels,Bible. Gospels,,,,1281,1281 CE,,,,,Followed by chapter index and divided according to Greek Calendar,,,,,Kamil,,,295 ff.,1668.2 g,Codex,227 x 163 x 92 mm,,Paper,,,,,,,,,,,Dated,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 104,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891573 ,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x36g3q/manifest,delivery 4.3,606,
,,"Sinai, St. Catherine’s Monastery, Arabic 108",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1834wfh%2F1g22z24h/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1834wfh,Work,Four Gospels,Bible. Gospels,,,,1201/1300,13th c. CE,,,,,,,,,,Kamil,,,247 ff.,1301.4 g,Codex,208 x 165 x 85 mm,,Paper,f. 111 written as 101,,,,,,,,,,Rubrication|~|Marginalia|~|Colophon,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 108,Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1834wfh/manifest,delivery 4.1,504,
,,"Sinai, St. Catherine’s Monastery, Arabic 109",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b44rm%2Fxn402r6g/full/!200,200/0/default.jpg",,individuals,ark:/21198/z1bk2gmg,ark:/21198/z14b44rm,Work,Four Gospels,Bible. Gospels,,,,1201/1300,13th c. CE,,,,,,,,,,Kamil,,,320 ff.,1529.8 g,Codex,215 x 161 x 101 mm,,Paper,f. 303 written as 203,,,,Fleurons on ff. 289r-300r,,,,,,"Rubrication|~|Colophon|~|Decoration, Geometric",signs of forcable opening at top outer corners ; fols. 1-4 have rodent damage,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 109,Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14b44rm/manifest,delivery 4.1,655,
,,"Sinai, St. Catherine’s Monastery, Arabic 11",Varia,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g24xj%2Fc7603g0w/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z11g24xj,Work,,Prophetologion,,,,1116,1116 CE,,,,,"Lessons from Prophets recited during Lent, Holy Week and feast days for whole year preceded by verses from Psalms. Ends with several treatises on the determination of Lent, the Oecumenical Councils, and a comparative study of the Calendars from Adam, Alexander, the Christian Era and the Moslem Hijra.",,,,,Kamil,,,176 ff.,478.3 g,Codex,179 x 132 x 57 mm,,Paper,,,,,,,,,,,Dated,,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 11,Old Collection,https://www.loc.gov/item/00279385809-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g24xj/manifest,delivery 5.1,362,
,,"Sinai, St. Catherine’s Monastery, Arabic 110",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5qbj%2Fxf09n096/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1sb5qbj,Work,Four Gospels,Bible. Gospels,,,,1286,1286 CE,,,,,Divided according to Greek Calendar and followed by tables of readings for the whole year,,,,,Kamil,,,234 ff.,1437.4 g,Codex,235 x 159 x 71 mm,,Paper,"The folio between ff. 116 and 117 is labeled 118, then f. 117 is followed by the normal sequence (ff. 118, 119, etc.)",,,,,,,,,,Dated,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 110,Old Collection,https://www.loc.gov/item/00279386796-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb5qbj/manifest,delivery 4.3,478,
