File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,Related,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Undertext Objects,Overtext Manuscript,Place of origin,Date.normalized,Date.creation,Scribe,Author,Associated Name,Contributors,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Format.weight,Form,Format.dimensions,Folio dimensions,Support,Foliation,Collation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Binding condition,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,Collection,Other version(s),IIIF Manifest URL,delivery,image count,Viscodex
,,"Sinai, St. Catherine’s Monastery, Arabic NF M 28",Mimar and sermon of John Chrysostom,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02zkr%2Fq878hh1t/full/!200,200/0/default.jpg","Text continues from Arabic NF M 8|~|Arabic NF M 8, Arabic NF M 27, and Arabic NF M 28 originally belonged to the same manuscript",paged,ark:/21198/z1bk2gmg,ark:/21198/z1n02zkr,Work,,Bible. John|~|Bible. Epistles of Paul,,,,851/900,Second half 9th c. CE,,"John Chrysostom, Saint, -407",,,,,,,Meimaris|~|Kashouh 2008|~|Kashouh 2012,,,16 ff.,40.1 g,Quire(s),192 x 140 x 20.0 mm,191 x 137 mm,Parchment,Pencil foliation begins with fol. 128,Quires 1-2: 2x8 (16),,,,,,,,black; titles in red ink,Palimpsest|~|Rubrication,Two unsewn quires,text,Gospel books|~|Biblical texts|~|Theological works,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF M 28,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n02zkr/manifest,delivery natural-light,35,
,,"Sinai, St. Catherine’s Monastery, Arabic NF M 68",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25rdg%2Fb087vw9z/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1kq1bs7,Work,,Euchologion,,,,,n.d.,,,,,,,,,Meimaris,,,2 ff.,11.3 g,Bifolium,209 x 129 x 9.0 mm,210 x 128 mm,Parchment,,1x2 (2),,,,,,,,"black-brown, red ink",Palimpsest|~|Rubrication,,text,Liturgical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF M 68,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kq1bs7/manifest,delivery natural-light,4,
,,"Sinai, St. Catherine’s Monastery, Syriac 2A",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x07bdf%2Fcw62ns60/full/!200,200/0/default.jpg","Syriac 2A originally belonged together with ms. Chabot 12 (Milan, Biblioteca Ambrosiana)",paged,ark:/21198/z1bk2gmg,ark:/21198/z1x07bdf,Work,Four Gospels (Peshitta) | Tetraevangelion,Bible. Gospels,,,,501/600,6th c. CE,,,,Grigory Kessel,Ff. 153r–166v palimpsest,,,,Lewis|~|Kamil|~|Géhin 2017,,,180 ff.,3788.3 g,Codex,328 x 255 x 97 mm,307 x 230 mm,Parchment,,"Pastedown+flyleaf, Quire 1: 1x10 (10), Quire 2: 1x6 (16), Quire 3: 1x8 (24), Quire 4: 1+1x8 (33), Quires 5-12: 8x8 (97), Quire 13: 1x8+1 (106), Quire 14: 1x6+1+1 (114), Quire 15: 1x8 (122), Quire 16: 6x1 (128), Quire 17: 1x6+1 (135), Quire 18: 1x6+1 (142), Quire 19: 1x6 (148), Quire 20 (paper): 1x4 (152), Quire 21: 8x1 (160), Quire 22: 6x1 (166), Quire 23 (paper): 1x8, Quire 24 (paper): 1x6 (180), flyleaf+pastedown|~|Quire signatures at beginning and end of most quires. Quires 20, 23, and 24 are paper",,,"Minor geometric headpieces throughout, beginning on ff. 31v",,,"Relatively recent; leather on wood showing signs of repair; metal studs (some missing) on front and back and along edges; remnants of clasps (four total, two for edge and one each at top and bottom)",,,"Rubrication|~|Decoration, Geometric|~|Marginalia|~|Headpiece(s)|~|Decoration, Vegetative|~|Palimpsest",Intact codex,text,Biblical texts|~|Gospel books,syc|~|grc,right-to-left,Syriac|~|Greek,Estrangela|~|Melkite|~|Greek minuscule,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 2A,Old Collection,https://www.loc.gov/item/0027938619A-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x07bdf/manifest,delivery natural-light,378,
,,"Sinai, St. Catherine’s Monastery, Syriac 7",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26f2j%2F7q70t309/full/!200,200/0/default.jpg","Syriac 7 originally belonged together with Sinai NF frag 55, Sinai NF frag 56, Sinai NF frag 57, London BL Or. 8609/II, Chabot 26-27 (Milan, Biblioteca Ambrosiana), Paris BNF syr. 382/I, Houghton syr. 171 (Cambridge, Harvard University), Hiersemann 500/10 (lost)",paged,ark:/21198/z1bk2gmg,ark:/21198/z1c26f2j,Work,Gospel Lectionary | Services,Evangelion,,,"Antiochia, Black Mountain?",1001/1100,11th c. CE,,,,Grigory Kessel,,,,,Lewis|~|Kamil|~|Géhin 2017,,,73 ff.,591.5 g,Codex,261 x 208 x 37 mm,260 x 205 mm,Parchment,"Pencil numbered sequence of first folios: 1a, 1b, 2",Quire 1: 1x6+1 (6); Quires 2-6: 5x8 (46); Quire 7: 1x2 (48); Quire 8: 1x6 (54); Quires 9-10: 2x8 (70); Quire 11: 1x2 (72)|~|Quire signature at the beginning and end of most quires,,,,,,,Boards missing,,Palimpsest,"Quires, partially detached",text,Lectionaries|~|Liturgical texts|~|Biblical texts|~|Gospel books,syc,right-to-left,Syriac,Melkite,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 7,Old Collection,https://www.loc.gov/item/00279386231-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c26f2j/manifest,delivery natural-light,152,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 23",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34mxk%2Fcz56dc8q/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1m34mxk,Work,Gospel Lectionary,Evangelion,,,,801/1000,9th-10th c. CE,,,,,"New Testament , John 3:26-7",,,,Philothée|~|Géhin 2017,,,13 ff.,178.8 g,Codex,180 x 137 x 25.0 mm,168 x 125 mm,Parchment,,Quire 1: 1x8 (8); Quire 2: 1+1x4+1 (14),,,,,,"Back cover leather on wood, finely tooled; parts of leather spine extant",Front cover missing; parts of spine detached,black-brown; titles in red,Palimpsest|~|Rubrication,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books,syc,right-to-left,Syriac,Serto|~|Estrangela,Palimpsest on two columns in Estrangela from the 4th-5th c.,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 23,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m34mxk/manifest,delivery natural-light,34,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 3",Lives of the Saints | Hymns,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2F5z16512v/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1tm9397,Work,,Bible. Psalms,,,,1201/1300,13th c. CE,,,,,,,,,Philothée|~|Géhin 2017,,,163 ff.,476.3 g,Codex,128 x 113 x 116.0 mm,120 x 85 mm,Parchment,Pencil foliation at either top or bottom,1+1 (2); Quire 1: 8x1 (10); Quire 2: 8x1-1 (17); Quires 3-8: 8x8 (65); Quire 9: 1x6 (71); Quires 10-20: 11x8 (159); Quire 21: 1x2+1 (162); Quire 22: 1x2 (164)|~|Quire signatures in overtext,,,,,,Leather on wood; leather on front cover stitched; leather strap in front cover,Spine exposed; no paste down on back cover; loose paper fragment inside front cover,"black; titles and punctuation in red, sometimes in yellow ink",Palimpsest|~|Rubrication,,text,Biblical texts|~|Hagiographies|~|Hymnals,syc|~|ara,right-to-left,Syriac|~|Arabic,Serto|~|Estrangela,Palimpsest in Estrangela,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 3,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tm9397/manifest,delivery natural-light,341,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 37","Evagrius Ponticus, On Prayer","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2swb%2Fxg28g46d/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1xd2swb,Work,,,,,,850/1000,Mid 9th-10th c. CE,,"Evagrius, Ponticus, 345?-399",,,"Palimpsest ; Old Syriac Gospels , overwritten by Evagrius's Treatise on Prayer",,,,Philothée|~|Géhin 2017,,,6 ff.,31.8 g,Quire(s),226 x 172 x 10.0 mm,220 x 172 mm,Parchment,,Quire 1: 1x6 (6),,,,,,,,black,Palimpsest,"Single quire, unsewn",text,Theological works,syc,right-to-left,Syriac,Estrangela,"Estrangelo, 3rd-4th century",Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 37,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xd2swb/manifest,delivery natural-light,18,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 38","John Climacus, The Ladder of Divine Ascent | John Climacus, Letter to a Shepherd","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612rfs%2Frn27q48x/full/!200,200/0/default.jpg","Originally part of the Codex Climaci rescriptus, belonging together with Cambridge, Westminster Theological College, now Washington, Museum of the Bible (Coll. Steve Green) and Mingana syr. 637 (Birmingham, Cadbury Research Library, Collection Mingana)",paged,ark:/21198/z1bk2gmg,ark:/21198/z1sn224z,Work,,,,,,801/1000,9th-10th c. CE,,"John, Climacus, Saint, active 6th century",,,"Palimpsest ; Christian Palestinian Aramaic overwritten by John of Sinai's Ladder, chapter 31",,,,Philothée|~|Géhin 2017,,,8 ff.,47.8 g,Quire(s),227 x 184 x 10.0 mm,225 x 180 mm,Parchment,,2x4 (8),,,,,,,,black,Palimpsest,"Four bifolios; first two bifolios with sewing present, but nonfunctional; second two bifolios with functional sewing",text,Theological works,syc,right-to-left,Syriac,Serto,Large and square script,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 38,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sn224z/manifest,delivery natural-light,22,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 39","Diadochos of Photiki, The Hundred Chapters","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612rfs%2F3p446b5z/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1nw19cs,Work,On Spiritual Perfection,Bible. Gospels|~|Bible. John|~|Bible. Luke|~|Bible. Matthew,,,,801/1000,9th-10th c. CE,,"Diadochus, Bishop of Photice, active 5th century",,,Old Syriac Gospels overwritten by Diadochus' of Photike's treatise On Spiritual Perfection; no other Syriac translation is known to exist | Bilingual Syriac-Arabic text containing Bar Sira (Ecclesiasticus) 7:10-18 | Palimpsest,,,,Philothée|~|Géhin 2017,,,18 ff.,104.2 g,Quire(s),230 x 181 x 19.0 mm,225 x 170 mm,Parchment,,Quire 1: 1+2+4x1 (7); Quire 2: 1+1x8 (16); 2x1 (18); Quire signatures,,,,,,,,black,Palimpsest|~|Marginalia,2 sewn quires and 2 singletons,text,Biblical texts|~|Gospel books|~|Theological works,syc,right-to-left,Syriac,Estrangela,4th-5th century Estrangelolo,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 39,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nw19cs/manifest,delivery natural-light,42,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 42",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25rdg%2Fc8723z38/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z18p7rqf,Work,Gospel Lectionary,Evangelion,,,,1101/1200,12th c. CE,,,,,,,,,Philothée,,,8 ff.,37.1 g,Quire(s),238 x 180 x 10.0 mm,233 x 178 mm,Parchment,Pencil foliation in bottom margin,"8x1 (8); regular quire consisting of eight single-folios, sewn between fols. 4 and 5; stubs of conjoins barely detectable; no two folios are conjoins",,,Decorative bars in red and black,,,,,black; red ink for titles and punctuation,"Palimpsest|~|Decoration, Geometric|~|Rubrication",Unbound quire; most of outer margin missing; large area at lower half missing throughout,text,Liturgical texts|~|Gospel books|~|Biblical texts,cpa,right-to-left,Syriac,Melkite,Christian-Palestinian script (Aramaic Melkite),Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 42,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p7rqf/manifest,delivery natural-light,22,
