File Path,Title,Object Type,Source,Parent ARK,Item ARK
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_182r_11-001\Grk-962_182r_11-001_RLE_PCA_99_RGB.tif,Image of Sinai Greek 962 182r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_182r_11-001,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003\Grk-962_183r_11-003_DJK_ICA_01_RGB.tif,Image of Sinai Greek 962 183r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003\Grk-962_183r_11-003_DJK_ICA_02_RGB.tif,Image of Sinai Greek 962 183r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003\Grk-962_183r_11-003_WCB_PCA-V1_1-2-3-RGB.tif,Image of Sinai Greek 962 183r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003\Grk-962_183r_11-003_WCB_PCA-V1_1-2-4-RGB.tif,Image of Sinai Greek 962 183r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003\Grk-962_183r_11-003_WCB_PCA-V1_1-3-4-RGB.tif,Image of Sinai Greek 962 183r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003\Grk-962_183r_11-003_WCB_PCA-VSBG_1-2-3-RGB.tif,Image of Sinai Greek 962 183r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003\Grk-962_183r_11-003_WCB_PCA-VSBG_1-2-4-RGB.tif,Image of Sinai Greek 962 183r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003\Grk-962_183r_11-003_WCB_PCA-VSBG_1-3-4-RGB.tif,Image of Sinai Greek 962 183r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183r_11-003,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004\Grk-962_183v_11-004_DJK_ICA_01_RGB.tif,Image of Sinai Greek 962 183v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004\Grk-962_183v_11-004_DJK_ICA_02_RGB.tif,Image of Sinai Greek 962 183v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004\Grk-962_183v_11-004_RLE_PCA_01_RGB.tif,Image of Sinai Greek 962 183v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004\Grk-962_183v_11-004_RLE_PCA_03_RGB.tif,Image of Sinai Greek 962 183v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004\Grk-962_183v_11-004_WCB_REFLU_2-19-21-RGB.tif,Image of Sinai Greek 962 183v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004\Grk-962_183v_11-004_WCB_REFLU_9-19-21-RGB.tif,Image of Sinai Greek 962 183v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_183v_11-004,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009\Grk-962_186r_11-009_DJK_ICA_01_RGB.tif,Image of Sinai Greek 962 186r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009\Grk-962_186r_11-009_DJK_ICA_02_RGB.tif,Image of Sinai Greek 962 186r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009\Grk-962_186r_11-009_RLE_capture_01_RGB.tif,Image of Sinai Greek 962 186r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009\Grk-962_186r_11-009_WCB_PCA-V1_1-2-3-RGB.tif,Image of Sinai Greek 962 186r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009\Grk-962_186r_11-009_WCB_PCA-V1_1-2-4-RGB.tif,Image of Sinai Greek 962 186r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009\Grk-962_186r_11-009_WCB_PCA-V1_1-3-4-RGB.tif,Image of Sinai Greek 962 186r,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186r_11-009,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010\Grk-962_186v_11-010_DJK_ICA_01_RGB.tif,Image of Sinai Greek 962 186v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010\Grk-962_186v_11-010_DJK_ICA_02_RGB.tif,Image of Sinai Greek 962 186v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010\Grk-962_186v_11-010_RLE_PCA_01_RGB.tif,Image of Sinai Greek 962 186v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010\Grk-962_186v_11-010_WCB_FLUOR-V1_18-19-21-RGB.tif,Image of Sinai Greek 962 186v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010\Grk-962_186v_11-010_WCB_FLUOR-VSBG_18-19-21-RGB.tif,Image of Sinai Greek 962 186v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010,,
\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010\Grk-962_186v_11-010_WCB_PCA-V1_1-2-3-RGB.tif,Image of Sinai Greek 962 186v,page,\\dl_deposit\spp_ingest\IngestPackage4\Grk-962\Grk-962_186v_11-010,,
