"Shelfmark","Item ARK","Object Type","Date.normalized","Date.creation","Format.extent","Format.weight","Format","Format.dimensions","Support","Language","delivery","Comments","User Comments"
"Arabic 20","","Work","1201/1300","13th c.","230 ff.","617.9 g","codex","165 x 120 x 69.0 mm","Parchment","Arabic","6.1","No front board / No back board / 163AB / NO 173",""
"Arabic 21","","Work","1001/1100","11th c.","197 ff.","610.5 g","codex","150 x 117 x 75.0 mm","Parchment","Arabic","6.1","24AB / 62AB",""
"Arabic 41","","Work","1201/1300","13th c.","201 ff.","382.1 g","codex","152 x 125 x 55.0 mm","Paper","Arabic","6.1","NO 17 / 18AB / NO 202 / glued together: 46v-47r","z_998 / z_999"
"Arabic 51","","Work","1201/1300","13th c.","136 ff.","723.7 g","codex","179 x 140 x 70.0 mm","Paper","Arabic","6.1","",""
"Arabic 62","","Work","1312","1312","215 ff.","442.4 g","codex","145 x 112 x 72.0 mm","Paper","Arabic","6.1","No front cover/ glued together: 196v  197r / 131AB","f.48 written as f.18 /  f.97 written as f.95"
"Arabic 63","","Work","1201/1300","13th c.","338 ff.","1034 g","codex","167 x 141 x 91.0 mm","Paper","Arabic","6.1","NO 37 / 66AB / 171AB / 316AB","z_999 found at y_999 / y_999a / z_3a"
"Arabic 74","","Work","801/900","9th c.","255 ff.","878.9 g","codex","171 x 134 x 100.0 mm","Parchment","Arabic","6.1","38AB",""
"Arabic 82","","Work","1287","1287","246 ff.","1377.9 g","codex","229 x 157 x 79.0 mm","Paper","Arabic","6.1","145AB",""
"Arabic 115","","Work","1201/1300","13th c.","279 ff.","958.8 g","codex","181 x 148 x 72.0 mm","Paper","Arabic","6.1","",""
"Arabic 124","","Work","1201/1300","13th c.","236 ff.","1136.2 g","codex","213 x 154 x 70.0 mm","Paper","Arabic;Greek","6.1","17AB / 84AB / 222AB / No back board / 199verso till end Greek Lectionary with incomplete beginning",""
"Arabic 144","","Work","1054","1054","204 ff.","843 g","codex","184 x 146 x 76.0 mm","Paper","Arabic","6.1","",""
"Arabic 146","","Work","1201/1300","13th c.","56 ff.","219.4 g","codex","211 x 149 x 16.0 mm","Paper","Arabic","6.1","","y_999=f.57r"
"Arabic 152","","Work","1201/1300","13th c.","302 ff.","572 g","codex","142 x 110 x 76.0 mm","Paper","Arabic","6.1","NO 213 / No front cover",""
"Arabic 159","","Work","1199","1199","273 ff.","1222.6 g","codex","215 x 157 x 85.0 mm","Paper","Arabic","6.1","",""
"Arabic 160","","Work","1201/1300","13th c.","238 ff.","1067.9 g","codex","212 x 152 x 71.0 mm","Paper","Arabic","6.1","",""
"Arabic 168","","Work","1238","1238","506 ff.","2046.2 g","codex","182 x 160 x 142.0 mm","Paper","Arabic","6.1","",""
"Arabic 190","","Work","1201/1300","13th c.","223 ff.","538.9 g","codex","147 x 121 x 79.0 mm","Paper","Arabic","6.1","1A is detouched leaf with a decorative border at the top of the recto / 1AB / 215ABC","z_999"
"Arabic 220","","Work","1390","1390","215 ff.","544.1 g","codex","145 x 107 x 74.0 mm","Paper","Arabic","6.1","",""
"Arabic 221","","Work","1201/1300","13th c.","186 ff.","521.5 g","codex","149 x 115 x 68.0 mm","Paper","Arabic","6.1","Text on 1r upside down / manuscript text begins on 1v",""
"Arabic 228","","Work","1222","1222","208 ff.","586.3 g","codex","163 x 124 x 62.0 mm","Paper","Arabic","6.1","",""
"Arabic 230","","Work","1201/1300","13th c.","96 ff.","681.4 g","codex","197 x 145 x 54.0 mm","Paper","Arabic","6.1","46AB / 82AB",""
"Arabic 248","","Work","1201/1300","13th c.","197 ff.","543.6 g","codex","150 x 122 x 68.0 mm","Paper","Arabic","6.1","NO 2 / f.1-2=f.1",""
"Arabic 255","","Work","1201/1300","13th c.","179 ff.","714.3 g","codex","176 x 135 x 80.0 mm","Paper","Arabic","6.1","",""
"Arabic 261","","Work","1201/1300","13th c.","244 ff.","612.9 g","codex","148 x 115 x 77.0 mm","Paper","Arabic","6.1","1AB",""
"Arabic 297","","Work","1101/1200","12th c.","189 ff.","762.7 g","codex","184 x 150 x 75.0 mm","Paper","Arabic","6.1","",""
"Arabic 307","","Work","1438","1438","293 ff.","1074.6 g","codex","180 x 138 x 84.0 mm","Paper","Arabic","6.1","No front board / y_999a = back board variant / z_3a = fore edge variant","manuscript includes various paper stocks, each with different color: some blond, some reddish, and others greenish."
"Arabic 316","","Work","1101/1300","12th c.","267 ff.","942.9 g","codex","181 x 142 x 80.0 mm","Paper","Arabic","6.1","124AB",""
"Arabic 318","","Work","1226","1226","414 ff.","1276.2 g","codex","182 x 141 x 96.0 mm","Paper","Arabic","6.1","121AB",""
"Arabic 329","","Work","901/1000","10th c.","290 ff.","1112.8 g","codex","171 x 147 x 96.0 mm","Paper","Arabic","6.1","",""
"Arabic 330","","Work","1001/1100","11th c.","388 ff.","1050.3 g","codex","170 x 148 x 98.0 mm","Paper","Arabic","6.1","129AB / rodent damage",""
"Arabic 350","","Work","1201/1300","13th c.","269 ff.","982.4 g","codex","180 x 140 x 74.0 mm","Paper","Arabic","6.1","NO 129",""
"Arabic 361","","Work","1201/1300","13th c.","297 ff.","1391.3 g","codex","224 x 180 x 88.0 mm","Paper","Arabic","6.1","216AB / 253AB / some folios rodent damage",""
"Arabic 377","","Work","1252","1252","245 ff.","1246.1 g","codex","218 x 163 x 74.0 mm","Paper","Arabic","6.1","79AB / 153ab / no 154",""
"Arabic 388","","Work","1201/1300","13th c.","196 ff.","461.9 g","codex","146 x 106 x 69.0 mm","Paper","Arabic","6.1","89AB",""
"Arabic 389","","Work","1201/1300","13th c.","115 ff.","197.1 g","codex","155 x 113 x 27.0 mm","Paper","Arabic;Coptic","6.1","1AB","z_999"
"Arabic 426","","Work","1415","1415","67 ff.","423.1 g","codex","194 x 151 x 37.0 mm","Paper","Arabic","6.1","","b_000=f.1A / f_001r=f.1B / y_999=f.67"
"Arabic 445","","Work","1233","1233","461 ff.","1366.7 g","codex","182 x 138 x 115.0 mm","Paper","Arabic","6.1","165AB / 168AB / 193ABCDEFGHIJ / 321AB / 362AB",""
"Arabic 467","","Work","1201/1300","13th c.","251 ff.","884 g","codex","182 x 143 x 85.0 mm","Paper","Arabic","6.1","NO 235",""
"Arabic 471","","Work","1201/1300","13th c.","192 ff.","638.3 g","codex","175 x 137 x 68.0 mm","Paper","Arabic","6.1","NO 91 / NO 131 / front board broken in half",""
"Arabic 485","","Work","1201/1300","13th c.","216 ff.","582.4 g","codex","170 x 134 x 58.0 mm","Paper","Arabic","6.1","NO 199 / 1 blank stub b_001r -b_000","decorative elements: 190r, v / f.198-199=198r"
"Arabic 486","","Work","1201/1300","13th c.","161 ff.","482.4 g","codex","144 x 119 x 65.0 mm","Paper","Arabic","6.1","",""
"Arabic 531","","Work","1232","1232","352 ff.","905.3 g","codex","159 x 127 x 104.0 mm","Paper","Arabic","6.1","",""
"Arabic 540","","Work","1101/1200","12th c.","270 ff.","623.6 g","codex","162 x 121 x 65.0 mm","Paper","Arabic","6.1","No front board",""
"Arabic 545","","Work","901/1000","10th c.","444 ff.","1649.6 g","codex","197 x 180 x 147.0 mm","Paper","Arabic","6.1","53AB / 62AB / 436AB",""
"Arabic 559","","Work","1201/1300","13th c.","269 ff.","1120.5 g","codex","193 x 153 x 85.0 mm","Paper","Arabic","6.1","NO 47 / 95AB",""
"Arabic 586","","Work","1409","1409","152 ff.","327.9 g","codex","141 x 93 x 58.0 mm","Paper","Arabic","6.1","",""
"Arabic 590","","Work","1201/1300","13th c.","162 ff.","767.6 g","codex","213 x 174 x 47.0 mm","Paper","Arabic","6.1","","b_001, b_002 palimpsest"
"Arabic 600","","Work","1101/1300","12th c.","319 ff.","641.2 g","codex","170 x 142 x 60.0 mm","Paper","Arabic","6.1","No front board / No back board / 9AB / glued together: 17v-18r",""
"Arabic 620","","Work","1409","1409","155 ff.","340.6 g","codex","160 x 113 x 39.0 mm","Paper","Arabic","6.1","78AB / 105AB",""
"Arabic 673","","Work","1201/1300","13th c.","27 ff.","38.2 g","codex","147 x 99 x 8.0 mm","Paper","Arabic","6.1","No covers / Starts at f.2",""
"Arabic 675","","Work","1708","1708","208 ff.","533.7 g","codex","170 x 128 x 58.0 mm","Paper","Arabic","6.1","",""
"Arabic 681","","Work","1714","1714","238 ff.","664.3 g","codex","161 x 119 x 62.0 mm","Paper","Arabic","6.1","f.130-139 foliation repeats / No 131 in second foliation / NO 171 / f.183-185 foliation repeats",""
"Syriacnfx 38","","Work","Series([], )","Series([], )","Series(;) ff.","Series([], ) g","series(;)","Series(;)","Series(;)","Series([];)","6.1","Series([], )","Series([], )"
"Syriacnfx 41","","Work","Series([], )","Series([], )","Series(;) ff.","Series([], ) g","series(;)","Series(;)","Series(;)","Series([];)","6.1","Series([], )","Series([], )"
"Syriacnfx 43","","Work","Series([], )","Series([], )","Series(;) ff.","Series([], ) g","series(;)","Series(;)","Series(;)","Series([];)","6.1","Series([], )","Series([], )"
"Syriacnfx 44","","Work","Series([], )","Series([], )","Series(;) ff.","Series([], ) g","series(;)","Series(;)","Series(;)","Series([];)","6.1","Series([], )","Series([], )"
"Syriacnfx 45","","Work","Series([], )","Series([], )","Series(;) ff.","Series([], ) g","series(;)","Series(;)","Series(;)","Series([];)","6.1","Series([], )","Series([], )"
"Syriac 17","","Work","801/900","9th c.","165 ff.","1482.9 g","codex","225 x 161 x 98.0 mm","Parchment","Syriac","6.1","9AB","f.150-154 palimpsest / f.164 double palimpsest / z_999r, v / z_998r, v / f. 144-147, 149 paper / f. 160v - 163v partly erased / decorative elements: 26v, 42r, 88r, 115r / review manuscript for palimpsests"
"Syriac 42","","Work","1101/1200","12th c.","279 ff.","917.1 g","codex","172 x 131 x 78.0 mm","Paper","Syriac","6.1","160AB","f.190-220, 226-241 parchment  / stub f_247_sr, _sv"
"Syriac 64","","Work","1254","1254","159 ff.","569.9 g","codex","163 x 122 x 75.0 mm","Parchment","Syriac","6.1","137AB","palimpsest vertical lines"
"Syriac 91","","Work","1286","1286","316 ff.","1456.6 g","codex","202 x 160 x 92.0 mm","Paper","Syriac","6.1","f.254-255=255 / NO 254",""
"Syriac 102","","Work","1327","1327","190 ff.","561.8 g","codex","164 x 127 x 55.0 mm","Paper","Syriac","6.1","",""
"Syriac 103","","Work","1235","1235","200 ff.","838.1 g","codex","181 x 146 x 75.0 mm","Paper","Syriac","6.1","","decorative elements: 1v"
"Syriac 116","","Work","985","985","204 ff.","871 g","codex","180 x 152 x 67.0 mm","Paper","Syriac","6.1","1AB / 2AB / 13AB",""
"Syriac 130","","Work","1201/1300","13th c.","298 ff.","1070.5 g","codex","174 x 152 x 86.0 mm","Paper","Syriac","6.1","235AB","z_999 / z_998 / z_997 / z_996 / y_999a / b_000a / z_3a"
"Syriac 131","","Work","1242","1242","347 ff.","1202.4 g","codex","177 x 136 x 91.0 mm","Paper","Syriac","6.1","f.22-23=22 / NO 23","z_999"
"Syriac 138","","Work","1201/1300","13th c.","205 ff.","819.6 g","codex","178 x 135 x 66.0 mm","Paper","Syriac","6.1","85AB",""
"Syriac 139","","Work","1201/1300","13th c.","300 ff.","940.5 g","codex","173 x 132 x 99.0 mm","Paper","Syriac","6.1","",""
"Syriac 145","","Work","1188","1188","240 ff.","962.5 g","codex","183 x 145 x 70.0 mm","Paper","Syriac","6.1","","z_999"
"Syriac 149","","Work","1201/1300","13th c.","236 ff.","849.9 g","codex","176 x 144 x 74.0 mm","Paper","Syriac","6.1","","stub f_143_sr, _sv"
"Syriac 152","","Work","1201/1300","13th c.","223 ff.","689.1 g","codex","153 x 119 x 76.0 mm","Paper","Syriac","6.1","16AB",""
"Syriac 153","","Work","1201/1300","13th c.","256 ff.","687.4 g","codex","149 x 120 x 80.0 mm","Paper","Syriac","6.1","162AB",""
"Syriac 158","","Work","1275","1275","146 ff.","529 g","codex","163 x 123 x 61.0 mm","Paper","Syriac","6.1","f.1=b_000 / f.1a=f_001r,v",""
"Syriac 159","","Work","1260","1260","232 ff.","630.5 g","codex","152 x 116 x 72.0 mm","Paper","Syriac","6.1","1AB / glued together: 20v-21r, 35v-36r, 56v-57r, 66v-67r, 85v-86r, 127v-128r, 175v-176r, 190v-191r",""
"Syriac 160","","Work","1201/1300","13th c.","90 ff.","401.9 g","codex","153 x 125 x 52.0 mm","Paper","Syriac","6.1","65AB",""
"Syriac 165","","Work","1261","1261","256 ff.","757.2 g","codex","161 x 126 x 95.0 mm","Paper","Syriac","6.1","91AB",""
"Syriac 170","","Work","1201/1300","13th c.","284 ff.","575 g","codex","144 x 114 x 70.0 mm","Paper","Syriac","6.1","1AB / 80AB",""
"Syriac 175","","Work","1201/1300","13th c.","179 ff.","547.2 g","codex","149 x 126 x 68.0 mm","Paper","Syriac","6.1","",""
"Syriac 201","","Work","1201/1300","13th c.","246 ff.","628.9 g","codex","144 x 114 x 78.0 mm","Paper","Syriac","6.1","",""
"Syriac 226","","Work","1201/1300","13th c.","89 ff.","236.1 g","codex","170 x 130 x 25.0 mm","Paper","Syriac","6.1","61AB",""
"Syriac 228","","Work","1201/1300","13th c.","224 ff.","675.3 g","codex","151 x 120 x 76.0 mm","Paper","Syriac","6.1","",""
"Syriac 246","","Work","1201/1300","13th c.","25 ff.","312.2 g","codex","195 x 148 x 30.0 mm","Paper","Syriac","6.1","",""
"Syriac 253","","Work","1277","1277","263 ff.","527.7 g","codex","143 x 116 x 79.0 mm","Paper","Syriac","6.1","NO 88 / NO 184 / NO 251",""
"Syriac 255","","Work","1270","1270","67 ff.","175.3 g","codex","142 x 121 x 32.0 mm","Paper","Syriac","6.1","","stub f_010_sr, _sv"
"Syriac 260","","Work","1182","1182","131 ff.","314.2 g","codex","166 x 136 x 38.0 mm","Paper","Syriac","6.1","127AB","stub f_100_sr, _sv, f_122_sr"
"Syriac 261","","Work","1234","1234","256 ff.","829.2 g","codex","179 x 140 x 68.0 mm","Paper","Syriac","6.1","f.118-119 = f.118 / NO 119 / half back board is present",""
"Syriac 264","","Work","1201/1300","13th c.","101 ff.","504.5 g","codex","172 x 135 x 54.0 mm","Paper","Syriac","6.1","",""
"Syriac 273","","Work","1201/1300","13th c.","215 ff.","664.4 g","codex","154 x 129 x 68.0 mm","Paper","Syriac","6.1","28AB / 92AB / 110AB / 132AB",""
"Syriac 278","","Work","1201/1300","13th c.","33 ff.","63.5 g","codex","160 x 116 x 14.0 mm","Paper","Syriac","6.1","No covers",""
